Category,Question
Comparison ,is covid worse then swine flu
Comparison ,did covid exist years before scientists discovered it
Comparison ,how are covid and sars cov similar
Comparison ,is covid more contagious than the flu
Comparison ,is covid worse than spanish flu
Comparison ,why worry about covid when the flu kills so many people
Comparison ,what covs were known to infect humans before december 2019
Comparison ,what is the difference between seasonal flu and covid
Comparison ,is the covid pandemic comparable to the black death pandemic
Comparison ,has covid been around longer
Comparison ,has covid always existed
Comparison ,why is covid nothing like the flu
Comparison ,why of all the history of the plagues is covid more complex and deadlier
Economic Effects ,why are stock markets dipping in response to covid
Economic Effects ,what business has been affected by covid the most
Economic Effects ,how will covid affect the financial market
Economic Effects ,how destructive has covid been for the world economy
Economic Effects ,is covid an economic pandemic
Economic Effects ,what industries will have a huge boost once covid lockdowns end
Economic Effects ,how has covid affected cryptocurrencies
Economic Effects ,which is the best business to start amidst covid
Economic Effects ,is it a good idea to buy bitcoin during the covid pandemic
Economic Effects ,how have the large tech companies been affected by covid
Economic Effects ,can you make money online during covid country lockdown
Economic Effects ,is china gaining from the covid pandemic economically
Economic Effects ,how badly has the world economy shuddered so far because of the covid outbreak
Economic Effects ,is the global economy headed for recession in 2020 because of covid
Economic Effects ,will china become superpower after covid
Having COVID ,why are some people asymptomatic while others can be highly symptomatic with the covid
Having COVID ,how long does it take to recover
Having COVID ,why covid kills
Having COVID ,what lasting health impact will covid have on those who recover from covid
Having COVID ,how long is the incubation time for covid
Having COVID ,do covid effects last forever
Having COVID ,had covid and recovered
Having COVID ,how covid affects the body
Having COVID ,what is the rate of recovery from the covid virus
Having COVID ,what covid does
Having COVID ,how covid kills
Individual Response ,what is your routine for the covid holidays
Individual Response ,is it safe to travel right after the covid pandemic
Individual Response ,why are people still going outside with their kids when its not safe (covid)
Individual Response ,are covid hoax hypotheses a form of denial based coping
Individual Response ,should people take covid more seriously
Individual Response ,what are some good books to read while youre cooped up in self quarantine during the covid pandemic
Individual Response ,how can people not believe the covid is real
Individual Response ,what do i do if i think im sick
Individual Response ,how do we cope with stress during covid
Individual Response ,what if my child or someone else in the home is sick with symptoms of covid
Individual Response ,how are you coping during the covid crisis
Individual Response ,wheres the first place youre going to travel to once covid dies down
Individual Response ,should i cancel my trip
Individual Response ,what are you doing to spend time while staying home due to covid
Nomenclature ,should covid be all caps
Nomenclature ,what is the genus of the sars covid
Nomenclature ,what is a novel covid
Nomenclature ,who covid pandemic
Nomenclature ,what covid stands for
Nomenclature ,what is the proper capitalization for covid
Nomenclature ,is covid a pandemic
Nomenclature ,why is the disease being called covid disease 2019
Nomenclature ,what is the acronym covid
Nomenclature ,what does it mean that covid is a global pandemic
Nomenclature ,what is covid
Origin ,did covid come from a bat
Origin ,where covid start
Origin ,how was covid created
Origin ,do you think covid was injected purposely
Origin ,where covid came from
Origin ,was covid man made
Origin ,was covid meant to happen
Origin ,did the covid develop in a laboratory
Origin ,did covid come from a lab
Origin ,is the conspiracy theory of china spreading covid legitimate
Origin ,did covid come from snakes
Origin ,was covid manufactured
Origin ,when was the novel covid first reported
Origin ,what is the true origin of the covid virus and is the wuhan bat snacking hypothesis credible
Origin ,where did covid come from
Origin ,why covid happened
Origin ,how covid starts
Origin ,did covid come from pangolin
Origin ,is covid bio engineered
Origin ,in what species did the covid virus likely originate
Other ,how has covid affected animals
Other ,did covid mutate
Other ,has covid mutated
Other ,what covid looks like
Other ,does covid mutate
Other ,do you personally know anybody who has been hospitalized due to the corona virus covid
Prevention ,does cdc recommend the use of facemask or face coverings to prevent covid
Prevention ,how do i stop covid
Prevention ,should i wear a facemask
Prevention ,when should we identify ourselves as being sick and stay at home
Prevention ,can i make my own hand sanitizer
Prevention ,until when should i wear a mask after recovering from an illness with respiratory symptoms
Prevention ,what steps should parents take to protect children during a community outbreak
Prevention ,how can i make sure to not get affected with the novel covid virus
Prevention ,what steps should parents take to protect children
Prevention ,should i use soap and water or a hand sanitizer to protect against covid
Prevention ,should i purchase personal protective equipment for me and my family
Prevention ,why is there no vaccine for the covid virus
Prevention ,should i make my own hand sanitizer if i cant find it in the stores
Prevention ,what company will produce the vaccine for covid
Prevention ,is there a vaccine
Prevention ,how do we protect ourselves
Prevention ,what is the current status of the covid vaccine
Prevention ,which covid mask works
Prevention ,will covid vaccines be effective since a recovered person can contract the virus again
Prevention ,do masks help prevent the spread of covid
Prevention ,what type of face mask is recommended to prevent catching covid
Prevention ,if traveling on a plane how do i stay safe
Prevention ,how do i keep safe from covid
Prevention ,how can i prevent covid
Reporting ,can we expect new movies after covid
Reporting ,where can published genomic sequences be found for the covid virus
Reporting ,where was covid first identified
Reporting ,do you think they will make a movie about covid
Reporting ,are covid deaths accurate
Reporting ,is covid a political tool
Reporting ,when was covid first identified
Reporting ,can covid reduce the population of humans on earth by half
Reporting ,which covid model is best
Reporting ,when was the first case of covid identified
Reporting ,where and when was covid first identified
Reporting ,are covid cases going down
Reporting ,how long did it take to identify the cause of covid
Reporting ,is there underreporting of covid cases in specific countries or worldwide
Reporting ,what platform was instrumental in rapid sharing of covid information
Reporting ,can someone contract covid and not die
Reporting ,does china give correct information to other countries on covid
Reporting ,where are we on the covid curve now
Reporting ,who covid mortality rate
Reporting ,why might we underestimate the spread of covid
Societal Effects ,could covid create world war like conditions
Societal Effects ,what needs to change once the covid pandemic is over
Societal Effects ,should china cdc (center for disease control) be responsible for the outbreak of covid
Societal Effects ,are americans going to blame trump for the covid situation
Societal Effects ,how do you think is the new normal going to look like in after covid days to come
Societal Effects ,have your views towards china changed after the burst of covid
Societal Effects ,will schools be dismissed if there is an outbreak in my community
Societal Effects ,did the covid pandemic make you realize anything about yourself that you didnt already know
Societal Effects ,how covid will change the world
Societal Effects ,why might someone blame or avoid individuals and groups (create stigma) because of covid
Societal Effects ,what if the us fails to contain covid
Societal Effects ,is covid the end of the conservative movement in america
Societal Effects ,what are the positive impacts of the covid crisis
Societal Effects ,will covid end the world
Societal Effects ,what will travel look like after the end of the covid pandemic
Societal Effects ,is the usa responsible for covid or china
Societal Effects ,will covid last until everyone dies and humans go extinct
Societal Effects ,did covid cost trump his second term
Societal Effects ,will covid kill us all
Societal Effects ,will we get through covid
Societal Effects ,are we all going to die of covid
Societal Effects ,what are the new things covid has taught you
Societal Effects ,if covid gets out of control in the us is it possible that trump will declare martial law at some point
Societal Effects ,has president trump failed america throughout the covid outbreak
Societal Effects ,how has the covid affected you
Societal Effects ,could covid wipe out the human race
Societal Effects ,is this covid the beginning of the end for america as we know it
Societal Effects ,what kind of person will you be after the covid pandemic
Societal Effects ,what would happen if trump tests positive for covid
Societal Effects ,how much of a factor will the covid be in the 2020 presidential election
Societal Response ,how can the power of artificial intelligence be utilized in fighting the covid
Societal Response ,are you worried about covid
Societal Response ,is there any way to de politicize the covid pandemic
Societal Response ,how is the us reaction to the spread of the covid different from chinas
Societal Response ,how has china gotten covid under control
Societal Response ,are you afraid of the covid virus
Societal Response ,why is the covid fatality rate so high in the us compared to china
Societal Response ,why is america ready to reopen before a vaccine is made for covid
Societal Response ,why does covid spread fast in the usa what makes it worse
Societal Response ,have covid checks been sent
Societal Response ,how long did it take to publish the full genomic sequence of covid after it was identified
Societal Response ,why is everyone panicked over covid arent we taking things a little too far
Societal Response ,which countries have the best procedures in place to contain the covid
Societal Response ,is trump managing well on covid
Societal Response ,are you panicking over the covid
Societal Response ,what is cdc doing about covid
Societal Response ,when did the chinese authorities share the sequence of a novel covid
Societal Response ,why are americans the most affected nation in the world by covid
Societal Response ,why is the us losing to covid despite being a top big rich country
Societal Response ,why covid is worse in us
Societal Response ,why are republican states more reluctant to issue stay at home orders to mitigate covid as compared to democrats
Societal Response ,do you think the covid outbreak is really serious
Societal Response ,the usa has 5% of the worlds population but about 30% of covid cases despite being the richest nation on the planet where did it go wrong
Societal Response ,how concerned are you about the covid that causes covid
Speculation ,will covid stay and last forever
Speculation ,would obama handle the covid incident better than trump
Speculation ,when will life get back to normal after the onset of covid
Speculation ,when covid end
Speculation ,how long will we be on lockdown for covid
Speculation ,will there be a second wave of the covid infection
Speculation ,was covid predicted
Speculation ,what are the conspiracy theories surrounding covid
Speculation ,is covid likely to be at pandemic proportions for two years
Speculation ,when do you think the world will stabilize after covid ends
Speculation ,will there be a covid 20 or higher
Speculation ,will covid end soon
Speculation ,when covid is over
Speculation ,what would happen if we just let covid run its course and not practice social distancing
Speculation ,what is the official end date to covid
Symptoms ,do covid symptoms come on suddenly
Symptoms ,what illness is caused by the covid covid
Symptoms ,which covid symptom is first
Symptoms ,what are the most common symptoms of covid
Symptoms ,can covid cause a stroke
Symptoms ,are covid symptoms sudden
Symptoms ,what covid feels like
Testing ,in addition to oral swabs which tests detected the presence of covid virus
Testing ,how is covid diagnosed
Testing ,how covid is tested
Testing ,what could be the implication of covid virus in anal swabs
Testing ,where to get tested for covid
Testing ,how can i get tested for covid
Testing ,what kind of test is being used to diagnose if i have covid
Testing ,when to get tested for covid
Testing ,are covid tests free
Testing ,are covid tests reliable
Testing ,are covid test accurate
Testing ,which covid test is best
Transmission ,does a history of smoking tobacco increase ones risk of catching covid
Transmission ,how does this covid spread
Transmission ,is covid more serious if you smoke and do people who vape face the same or less risks
Transmission ,should contact lens wearers take special precautions to prevent covid
Transmission ,how long is someone contagious after getting covid
Transmission ,does covid survive freezing
Transmission ,can covid live in freezer
Transmission ,are smokers or vapers at higher risk
Transmission ,is the u.s. food supply safe
Transmission ,can i get covid from a package sent from china
Transmission ,are pets from a shelter safe to adopt
Transmission ,can i get the covid from food food packaging or food containers and preparation area
Transmission ,what animals can get covid
Transmission ,given the evidence so far will covid most likely go away in the summer
Transmission ,how long does covid live on surfaces
Transmission ,can i get covid from a food worker handling my food
Transmission ,should i stop wearing contacts and switch to glasses
Transmission ,can people who recover from covid be infected again
Transmission ,do i need to wash my clothes right after encountering other people
Transmission ,is covid killing more liberals or conservatives
Transmission ,can the heat from a hand dryer kill covid
Transmission ,is covid in the air
Transmission ,when are you contagious with covid
Transmission ,how long is someone infectious after recovery from covid symptoms
Transmission ,how can someone spread covid when asymptomatic
Transmission ,has anyone gotten covid twice (re infected)
Transmission ,do covid deaths have to be cremated
Transmission ,how is covid spread
Transmission ,can a young and healthy person die from a covid infection
Transmission ,after recovering from covid does a person have long term immunity to the virus
Transmission ,can someone spread the virus without being sick
Transmission ,will high temperatures kill covid
Transmission ,is grocery shopping safe during the covid pandemic
Transmission ,can someone who has had covid spread the illness to others
Transmission ,is covid seasonal
Transmission ,how deadly is covid to pets
Transmission ,is covid dangerous for those who vape
Transmission ,if i vape tobacco or nicotine am i at risk for complications from covid
Transmission ,does covid die in freezer
Transmission ,can covid reinfect
Transmission ,is my child with an underlying medical condition or special healthcare need at higher risk for severe illness from covid
Transmission ,can covid survive in heat
Transmission ,can humans get covid from dogs or cats
Transmission ,does covid live on paper
Transmission ,will warm weather stop the outbreak of covid
Transmission ,what types of animals are susceptible to covid
Transmission ,how does the virus spread
Transmission ,is it safe to do grocery shopping in costco amidst covid
Transmission ,what animals can carry covid
Transmission ,who covid immunity
Transmission ,will covid end in summer
Transmission ,how does covid spread
Transmission ,can covid live in heat
Transmission ,why exposure risk of covid is very high for icu staff and what precautions should be taken
Transmission ,who covid airborne
Transmission ,what is the risk of my child becoming sick with covid
Treatment ,what is the survival rate of those infected by covid who are put on a ventilator
Treatment ,how should you treat the covid at home
Treatment ,will convalescent plasma therapy be the answer to covid
Treatment ,will ingesting or injecting disinfectants protect me against covid or kill covid if i already have it
Treatment ,are there data showing that chloroquine phosphate or hydroxychloroquine sulfate might benefit patients with covid
Treatment ,do covid have a cure
Treatment ,why is it being advised to not take ibuprofen if one has covid
Treatment ,may health care providers prescribe chloroquine phosphate or hydroxychloroquine sulfate off label to treat patients with covid
Treatment ,which are the medicines currently being used to treat covid
Treatment ,why should you not take advil during the covid pandemic
Treatment ,should covid patients take ibuprofen
Treatment ,is any disinfectant injection available for covid
Treatment ,has chloroquine been found to be effective against covid
Treatment ,do covid have cure
Treatment ,can disinfectant sprays or wipes be used on my skin injected inhaled or ingested to prevent or treat covid
